Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Safanelli J.L., Demattê J.A.M., Chabrillat S., Poppiel R.R., Rizzo R., Dotto A.C., Silvero N.E.Q., Mendes W.D.S., Bonfatti B.R., Ruiz L.F.C., ten Caten A., Dalmolin R.S.D.","57163606900;6603846580;6602994648;57194165611;54421097700;56505345400;57204794658;57193830300;56786235200;56185020500;37121178900;6506868253;","Leveraging the application of Earth observation data for mapping cropland soils in Brazil",2021,"Geoderma","396",,"115042","","",,1,"10.1016/j.geoderma.2021.115042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103099010&doi=10.1016%2fj.geoderma.2021.115042&partnerID=40&md5=800033fed691fb19018d637df8574eeb","Despite the natural spatial variability, cropland soils are subject to many interventions that can lead to alterations of soil functioning. As the cropland expansion took place in Brazil the last decades, leading to significant land-use change and environmental impacts, detailed information about soils is fundamental for sustainable development. Thus, considering the lack of spatially explicit information about cropland soils in Brazil, we aimed at performing high-resolution mapping of key topsoil attributes using spectral and terrain features extracted from Earth observation data (EOD). With the resulting information, we also aimed at performing a general examination of the main agricultural regions and estimate the total organic carbon stocks on croplands soils. For this, we obtained environmental predictors from the historical collection of Landsat data and the digital elevation model from Shuttle Radar Topographic Mission at the cloud-based platform of Google Earth Engine. The environmental predictors (30 m spatial resolution) with georeferenced soil samples (n = 5097) were used for predicting the topsoil content (0–20 cm) of clay, sand, silt, cation exchange capacity, pH, soil organic carbon (SOC) and SOC stock. Prediction models of clay, sand, SOC content, and SOC stocks had the best performance metrics, achieving a R2 ranging from 0.44 to 0.74 and ratio of performance to the interquartile range higher than 1.5. The predicted maps revealed the variability of topsoil among the cropped areas, indicating that the agricultural expansion took place on sandy soils. The SOC stock map provided consistent estimates compared to previous datasets but revealed additional information at the local and regional scales. Thus, this study supports the proposition that EOD is a valuable source for extracting environmental features for mapping and monitoring cropland soils at finer resolutions, assisting the evaluation of soil spatial distribution and the historical agriculture expansion over large geographical areas. © 2021 Elsevier B.V.","Bare soil composite; Croplands; Digital soil mapping; Google Earth engine; Machine learning; Remote sensing","Agriculture; Engines; Environmental impact; Expansion; Land use; Learning systems; Observatories; Organic carbon; Remote sensing; Soil surveys; Sustainable development; Bare soil composite; Cropland; Digital soil mappings; Earth observation data; Google earth engine; Machine-learning; Remote-sensing; Soil organic Carbon stocks; Spatial variability; Topsoil; Soils; cation exchange capacity; data set; digital elevation model; Landsat; performance assessment; satellite data; spatial distribution; World Wide Web; Brazil; Matthiola","English",Article,"Final","",Scopus,2-s2.0-85103099010
"Laamrani A., Voroney P.R., Gillespie A.W., Chehbouni A.","47261329700;57222519463;23472657500;7006296776;","Development of a land use carbon inventory for agricultural soils in the Canadian province of Ontario",2021,"Land","10","7","765","","",,2,"10.3390/land10070765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111425110&doi=10.3390%2fland10070765&partnerID=40&md5=a669edef4714a1eaa71917d1f937c690","Globally, agricultural soils are being evaluated for their role in climate change regulation as a potential sink for atmospheric carbon dioxide (CO2) through sequestration of organic carbon as soil organic matter. Scientists and policy analysts increasingly seek to develop programs and policies which recognize the importance of mitigation of climate change and insurance of ecological sustainability when managing agricultural soils. In response, many countries are exploring options to develop local land-use carbon inventories to better understand the flow of carbon in agriculture to estimate its contribution to greenhouse gas (GHG) reporting. For instance, the Canadian province of Ontario does not currently have its own GHG inventory and relies on the Canada’s National Inventory Report (NIR). To address this, the province explored options to develop its own land-use carbon inventory to better understand the carbon resource in agricultural soils. As part of this undertaking, a gap analysis was conducted to identify the critical information gaps and limitations in estimating soil organic carbon (SOC) monitoring to develop a land-use carbon inventory (LUCI) for the cropland sector in Ontario. We conducted a review of analytical and modeling methods used to quantify GHG emissions and reporting for the cropland sectors in Canada, and compared them with the methods used in seven other countries (i.e., France, United Kingdom; Germany; United States of America, Australia, New Zealand, and Japan). From this comparison, four target areas of research were identified to consider in the development of a cropland sector LUCI in Ontario. First, there needs to be a refinement of the modelling approach used for SOC accounting. The Century model, which is used for Ontario’s cropland sector, can benefit from updates to the crop growth model and from the inclusion of manure management and other amendments. Secondly, a raster-based spatially explicit modelling approach is recommended as an alternative to using polygon-based inputs for soil data and census information for land management. This approach can leverage readily available Earth Observation (EO) data (e.g., remote sensing maps, digital soil maps). Thirdly, the contributions from soil erosion need to be included in inventory estimates of SOC emissions and removals from cropland. Fourth, establishment of an extensive network of long-term experimental sites to calibrate and validate the SOC models (i.e., CENTURY) is required. This can be done by putting in place a ground-truth program, through farmer-led research initiatives and collaboration, to deal with uncertainties due to spatial variability and regional climates. This approach would provide opportunities for farmers to collaborate on data collection by keeping detailed records of their cropping and soil management practices, and crop yields. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Agricultural soils; CENTURY model; Crop land-use carbon inventory; Greenhouse gas (GHG); Soil organic carbon",,"English",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85111425110
"Moore J.C.","35426313200;","The re-imagining of a framework for agricultural land use: A pathway for integrating agricultural practices into ecosystem services, planetary boundaries and sustainable development goals: This article belongs to Ambio’s 50th Anniversary Collection. Theme: Agricultural land use",2021,"Ambio","50","7",,"1295","1298",,3,"10.1007/s13280-020-01483-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102619445&doi=10.1007%2fs13280-020-01483-w&partnerID=40&md5=cb56054b338fb2eef514ea1a0b7bf383","This paper reflects on the legacy of the Ambio papers by Sombroek et al. (1993), Turner et al. (1994), and Brussaard et al. (1997) on the study of agricultural land use and its impacts on global carbon storage and nutrient dynamics. The papers were published at a time of transition in ecology that involved the integration of humans as components of ecosystems, the formulation of the ecosystem services, and emergence of sustainability science. The papers offered new frameworks to studying agricultural land use across multiple scales in a way that captured causality from interacting components of the system. Each paper argued for more comprehensive data sets; foreseeing the power of network-based science, the potential of molecular technologies to assess biodiversity, and advances in remote sensing. The papers have contributed both conceptual framings and methodological approaches to an ongoing movement to identify a pathway to study agricultural land use and environmental change that fit within the concepts of ecosystem services, planetary boundaries and sustainable development goals. © 2021, Royal Swedish Academy of Sciences.","Agricultural land use; Carbon cycle; Soil ecology; Sustainable development","agricultural land; agricultural practice; biodiversity; carbon storage; ecosystem service; environmental change; land use; nutrient dynamics; Sustainable Development Goal; agriculture; ecosystem; environmental monitoring; history; human; motivation; sustainable development; Agriculture; Anniversaries and Special Events; Ecosystem; Environmental Monitoring; Goals; Humans; Sustainable Development","English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85102619445
"Guo L., Fu P., Shi T., Chen Y., Zeng C., Zhang H., Wang S.","50661250400;57207967909;55349704100;36571499900;35735760500;57192172966;8365963700;","Exploring influence factors in mapping soil organic carbon on low-relief agricultural lands using time series of remote sensing data",2021,"Soil and Tillage Research","210",,"104982","","",,6,"10.1016/j.still.2021.104982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103308699&doi=10.1016%2fj.still.2021.104982&partnerID=40&md5=303c1cf2ed1f7739c7ab1c9d51ee13eb","Soil organic carbon (SOC) content is of critical importance in managing agricultural fields and understanding carbon fluxes at various scales. At regional and global scales, digital mapping of SOC has been successful using environmental variables such as climatic, land use and terrain factors. However, such a mapping for agricultural lands in low-relief areas cannot be resolved due to weak spatial variations of the environmental variables. An alternative approach, based on time series of remote sensing images, has recently been emphasized in estimating SOC since crop growth status clearly revealed by satellite images is strongly related to SOC. However, there is still a lack of full understanding of impacts of factors such as data source, regression techniques, and spatial resolution on the accuracy of SOC mapping using time series of satellite images. In this study, prediction variables including four spectral bands (i.e., blue, green, red, and near-infrared bands) and the normalized difference vegetation index (NDVI) from Sentinel 2, Gaofen (GF) 1, and Landsat 8 data, acquired between November 2017 to March 2018, were individually used to estimate SOC by stepwise regression (STR), partial least squares regression (PLSR), and extreme learning machine (ELM). Besides, we further explored the influence of satellite parameters, such as scanning time, spectral bands and vegetation indices on predicting SOC using Sentinel 2 time series images. Results showed that: (1) the time series of remote sensing images can be used to map SOC in small- and large-extent low-relief areas with low evaluated root mean square errors (0.199 % and 0.249 %) and high R2 (0.555 and 0.528), (2) SOC estimations from the Sentinel-2 time series images, compared to those from Landsat 8 and GF 1 datasets, exhibited a better accuracy, and the ELM yielded a better prediction accuracy than PLSR and STR, (3) the satellite parameters of the spatial resolution, the acquisition time and the spectral bands significantly affected the prediction accuracy. This study offers more comprehensive information than terrain factors for revealing the influence of satellite parameters on predicting SOC, and provides great help for constructing one more suitable and higher precision soil mapping strategy for agricultural lands in low-relief areas. © 2021","Digital soil mapping; Soil organic carbon mapping; Time series remote sensing","Agriculture; Forecasting; Image resolution; Infrared devices; Land use; Learning systems; Least squares approximations; Mean square error; Organic carbon; Photomapping; Regression analysis; Remote sensing; Satellites; Soil surveys; Soils; Vegetation; Agricultural land; Digital soil mappings; Environmental variables; Satellite parameters; Soil organic carbon; Soil organic carbon mapping; Spectral band; Terrain factors; Time series remote sensing; Times series; Time series; agricultural land; digital mapping; environmental factor; Landsat; machine learning; remote sensing; satellite data; Sentinel; soil organic matter; spatial resolution; spatial variation; time series analysis","English",Article,"Final","",Scopus,2-s2.0-85103308699
"Nesha M.K., Herold M., De Sy V., Duchelle A.E., Martius C., Branthomme A., Garzuglia M., Jonsson O., Pekkarinen A.","57219887506;7102192954;55383198400;16038664900;7003852037;6504523581;15131599800;56825331700;56250117800;","An assessment of data sources, data quality and changes in national forest monitoring capacities in the Global Forest Resources Assessment 2005-2020",2021,"Environmental Research Letters","16","5","054029","","",,11,"10.1088/1748-9326/abd81b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105742439&doi=10.1088%2f1748-9326%2fabd81b&partnerID=40&md5=3ae69e79fa0e10c7e17dbec03bad8e16","Globally, countries report forest information to the Food and Agriculture Organization (FAO) of the United Nations Global Forest Resources Assessments (FRA) at regular intervals. While the status and trends of national forest monitoring capacities have been previously assessed for the tropics, this has not been systematically done worldwide. In this paper, we assess the use and quality of forest monitoring data sources for national reporting to the FRA in 236 countries and territories. More specifically, we (a) analyze the use of remote sensing (RS) for forest area monitoring and the use of national forest inventory (NFI) for monitoring forest area, growing stock, biomass, carbon stock, and other attributes in FRA 2005-2020, (b) assess data quality in FRA 2020 using FAO tier-based indicators, and (c) zoom in to investigate changes in tropical forest monitoring capacities in FRA 2010-2020. Globally, the number of countries monitoring forest area using RS at good to very good capacities increased from 55 in FRA 2005 to 99 in FRA 2020. Likewise, the number of countries with good to very good NFI capacities increased from 48 in FRA 2005 to 102 in FRA 2020. This corresponds to ∼85% of the global forest area monitored with one or more nationally-produced up-to-date RS products or NFI in FRA 2020. For large proportions of global forests, the highest quality data was used in FRA 2020 for reporting on forest area (93%), growing stock (85%), biomass (76%), and carbon pools (61%). Overall, capacity improvements are more widespread in the tropics, which can be linked to continued international investments for forest monitoring especially in the context of reducing emissions from deforestation and forest degradation in tropical countries (REDD+). More than 50% of the tropical countries with targeted international support improved both RS and NFI capacities in the period 2010-2020 on top of those that already had persistent good to very good capabilities. There is also a link between improvements in national capacities and improved governance measured against worldwide governance indicators (WGI). Our findings - the first global study - suggest an ever-improving data basis for national reporting on forest resources in the context of climate and development commitments, e.g. the Paris Agreement and Sustainable Development Goals. © 2021 The Author(s). Published by IOP Publishing Ltd.","data quality; forest area and area change; forest resources assessment; national forest inventories; national forest monitoring capacities; REDD+; remote sensing","Agricultural robots; Carbon; Deforestation; Natural resources; Remote sensing; Tropics; Capacity improvement; Food and agriculture organizations; Forest degradation; Forest resources assessments; International investments; National forest inventories; Reducing emissions; Tropical countries; Monitoring","English",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85105742439
"Sodango T.H., Sha J., Li X., Noszczyk T., Shang J., Aneseyee A.B., Bao Z.","57202421323;15047027800;35205670500;57190025111;10144065500;57211539695;57202424390;","Modeling the spatial dynamics of soil organic carbon using remotely-sensed predictors in Fuzhou City, China",2021,"Remote Sensing","13","9","1682","","",,4,"10.3390/rs13091682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105475922&doi=10.3390%2frs13091682&partnerID=40&md5=3bf52d6142e9613241d428224c675327","Assessing the spatial dynamics of soil organic carbon (SOC) is essential for carbon monitor-ing. Since variability of SOC is mainly attributed to biophysical land surface variables, integrating a compressive set of such indices may support the pursuit of an optimum set of predictor variables. Therefore, this study was aimed at predicting the spatial distribution of SOC in relation to remotely sensed variables and other covariates. Hence, the land surface variables were combined from remote sensing, topographic, and soil spectral sources. Moreover, the most influential variables for prediction were selected using the random forest (RF) and classification and regression tree (CART). The results indicated that the RF model has good prediction performance with corresponding R2 and root-mean-square error (RMSE) values of 0.96 and 0.91 mg·g−1, respectively. The distribution of SOC content showed variability across landforms (CV = 78.67%), land use (CV = 93%), and lithology (CV = 64.67%). Forestland had the highest SOC (13.60 mg·g−1) followed by agriculture (10.43 mg·g−1), urban (9.74 mg·g−1), and water body (4.55 mg·g−1) land uses. Furthermore, soils developed in bauxite and laterite lithology had the highest SOC content (14.69 mg·g−1). The SOC content was remarkably lower in soils developed in sandstones; however, the values obtained in soils from the rest of the lithologies could not be significantly differentiated. The mean SOC concentration was 11.70 mg·g−1, where the majority of soils in the study area were classified as highly humus and extremely humus. The soils with the highest SOC content (extremely humus) were distributed in the mountainous regions of the study area. The biophysical land surface indices, brightness removed vegetation indices, topographic indices, and soil spectral bands were the most influential predictors of SOC in the study area. The spatial variability of SOC may be influenced by landform, land use, and lithology of the study area. Remotely sensed predictors including land moisture, land surface temperature, and built-up indices added valuable information for the prediction of SOC. Hence, the land surface indices may provide new insights into SOC modeling in complex landscapes of warm subtropical urban regions. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Biophysical indices; Land use; Land-form; Lithology; Remotely sensed predictors; Soil organic carbon","Agricultural robots; Decision trees; Forecasting; Land use; Landforms; Lithology; Mean square error; Organic carbon; Remote sensing; Soils; Surface measurement; Classification and regression tree; Mountainous regions; Prediction performance; Predictor variables; Root mean square errors; SOC concentrations; Soil organic carbon; Spatial variability; Land surface temperature","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85105475922
"Yan J., Ma Y., Zhang D., Li Z., Zhang W., Wu Z., Wang H., Wen L.","55366052800;56379224300;57223104196;57223104092;57223104214;57223101710;57223114510;57211585500;","High-resolution monitoring and assessment of evapotranspiration and gross primary production using remote sensing in a typical arid region",2021,"Land","10","4","396","","",,4,"10.3390/land10040396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104837462&doi=10.3390%2fland10040396&partnerID=40&md5=fdbe72674e234955f62e58db5310fac8","Land surface evapotranspiration (ET) and gross primary productivity (GPP) are critical components in terrestrial ecosystems with water and carbon cycles. Large-scale, high-resolution, and accurately quantified ET and GPP values are important fundamental data for freshwater resource management and help in understanding terrestrial carbon and water cycles in an arid region. In this study, the revised surface energy balance system (SEBS) model and MOD17 GPP algorithm were used to estimate daily ET and GPP at 100 m resolution based on multi-source satellite remote sensing data to obtain surface biophysical parameters and meteorological forcing data as input variables for the model in the midstream oasis area of the Heihe River Basin (HRB) from 2010 to 2016. Then, we further calculated the ecosystem water-use efficiency (WUE). We validated the daily ET, GPP, and WUE from ground observations at a crop oasis station and conducted spatial intercomparisons of monthly and annual ET, GPP, and WUE at the irrigation district and cropland oasis scales. The site-level evaluation results show that ET and GPP had better performance than WUE at the daily time scale. Specifically, the deviations in the daily ET, GPP, and WUE data compared with ground observations were small, with a root mean square error (RMSE) and mean absolute percent error (MAPE) of 0.75 mm/day and 26.59%, 1.13 gC/m2 and 36.26%, and 0.50 gC/kgH2O and 39.83%, respectively. The regional annual ET, GPP, and WUE varied from 300 to 700 mm, 200 to 650 gC/m2, and 0.5 to 1.0 gC/kgH2O, respectively, over the entire irrigation oasis area. It was found that annual ET and GPP were greater than 550 mm and 500 gC/m2, and annual oasis cropland WUE had strong invariability and was maintained at approximately 0.85 gC/kgH2O. The spatial intercomparisons from 2010 to 2016 revealed that ET had similar spatial patterns to GPP due to tightly coupled carbon and water fluxes. However, the WUE spatiotemporal patterns were slightly different from both ET and GPP, particularly in the early and late growing seasons for the oasis area. Our results demonstrate that spatial full coverage and reasonably fine spatiotemporal variation and variability could significantly improve our understanding of water-saving irrigation strategies and oasis agricultural water management practices in the face of water shortage issues. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Agriculture monitoring; Arid region; Cropland wue; Data fusion; Evapotranspiration (ET); Gross primary productivity (GPP); Irrigation water management; Remote sensing model",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85104837462
"Hung L.Q., Asaeda T., Thao V.T.P.","57222164034;7005696965;57204804543;","Carbon emissions in the field of land use, land use change, and forestry in the Vietnam mainland",2021,"Wetlands Ecology and Management","29","2",,"315","329",,2,"10.1007/s11273-021-09789-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101778690&doi=10.1007%2fs11273-021-09789-6&partnerID=40&md5=0a3d662e456974ce4def3012120a2f08","The biennial report of Vietnam includes updated information on the greenhouse gas emissions for the base years which are specified by the United Nations Framework Convention on Climate Change for reporting on greenhouse gas emissions by member nations of the Intergovernmental Panel on Climate Change. The estimation of greenhouse gas emissions in general and carbon emissions in particular in the field of land use, land use change, and forestry using advanced technology to provide the input data was recommended. Remote sensing technology with transparency, multi-time characteristics, and wide coverage is useful in this area. An experiment on carbon emission estimation was carried out based on land cover change over ten years between 2002 and 2012. The results obtained by remote sensing data classification for the land cover categories achieved a reliability of 68% for the year 2002 and 67% for the year 2012. Data in relation to the land cover change, soil zoning, and ecological/climate zoning in the Vietnamese mainland, through the process of integrating, processing, and synthesizing data, and using the reported activity data and carbon emission coefficients, were input into the Agriculture and Land Use Greenhouse Gas Inventory Software for carbon emission estimations based on the quality control and quality assurance work. © 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.","ALU software; Carbon; Land cover; LULUCF; Remote sensing","carbon emission; experimental study; forestry production; greenhouse gas; land cover; land use change; remote sensing; Viet Nam","English",Article,"Final","",Scopus,2-s2.0-85101778690
"Mardian J., Berg A., Daneshfar B.","57211931219;57211903687;9243904900;","Evaluating the temporal accuracy of grassland to cropland change detection using multitemporal image analysis",2021,"Remote Sensing of Environment","255",,"112292","","",,7,"10.1016/j.rse.2021.112292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099512440&doi=10.1016%2fj.rse.2021.112292&partnerID=40&md5=a54c69c95b6a6214f588de1bd4fe6932","Grasslands are valuable carbon sinks in the effort to mitigate climate change. However, they are not well protected and are consequently being replaced by agricultural systems worldwide. Current monitoring efforts using remote sensing and ground-based methods are insufficient, and accordingly the mapping of grassland to cropland conversions must be improved to better document these changes in the Canadian Prairies. The purpose of this study is to evaluate different structural break methods and remote sensing datasets for their temporal accuracy in detecting grassland conversions in two Alberta study areas from 2010 to 2018. Breaks For Additive Seasonal and Trend (BFAST), BFAST Seasonal and Bayesian Estimator of Abrupt change, Seasonality and Trend (BEAST) methods were applied to evaluate their sensitivity to rangeland and pasture conversions. The best model was BFAST Seasonal, correctly predicting the year of change for 76% of rangelands and 66% of pastures. This demonstrates that seasonal models are effective in detecting interannual changes in vegetation composition amidst background noise from climate and management induced phenological changes. MODIS data outperformed Landsat, outlining the importance of high temporal resolution remote sensing data to successful change detection, even at the expense of higher spatial resolution. Overall, this study demonstrates that structural break methods are effective in identifying grassland to agriculture transitions and may be useful for the operational monitoring of grassland inventories in the future. © 2021","Agriculture; Breakpoints; Grasslands; Land cover change; Landsat; MODIS; Multitemporal image analysis; Soil carbon; Vegetation dynamics","Agricultural robots; Agriculture; Climate models; Remote sensing; Agricultural system; Bayesian estimators; High temporal resolution; Multitemporal image analysis; Operational monitoring; Phenological changes; Remote sensing data; Vegetation composition; Climate change; Alberta","English",Article,"Final","",Scopus,2-s2.0-85099512440
"Lu S., Tian F.","57211467564;57220932433;","Spatiotemporal variations of agricultural water use efficiency and its response to the Grain to Green Program during 1982–2015 in the Chinese Loess Plateau",2021,"Physics and Chemistry of the Earth","121",,"102975","","",,10,"10.1016/j.pce.2020.102975","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099148823&doi=10.1016%2fj.pce.2020.102975&partnerID=40&md5=1ffa9adb4f483106b8f7875ec7ba1274","The interaction between agricultural water use efficiency (WUEc) and change in vegetation dynamics (mainly crops coverage) was analyzed to assess the ecological effect of the implementation of China's Grain to Green Program (GGP) and to further analyze the impact of the policy on agriculture on a long-term scale from an ecosystem perspective. Remote sensing data (e.g., gross primary productivity, GPP; evapotranspiration, ET; and the normalized difference vegetation index, NDVI) were used to investigate the spatiotemporal characteristics of WUEc in the Loess Plateau during three periods: 1982–2015, 1982–2001, and 2001–2015. The results indicated that, first, the average and the trend of WUEc showed strong spatial heterogeneity over 1982–2015, a period that shows a strip distribution. The average value increased from the northwest to the southeast while the multiyear trend value decreased from the northwest to the southeast, and a positive slope prevailed (p &lt; 0.05). Second, statistically significant positive trends (p &lt; 0.001) in the annual mean WUEc for 1982–2015, with a value of 7.11 × 10−3 g C kg−1 H2O yr−1, indicate that the rate of carbon sequestration in the agricultural ecosystem was faster than that of water loss. Finally, the GGP was conducive to the improvement of WUEc in this arid and semiarid area, with interannual trend values of WUEc from 1982 to 2001 of 4.26 × 10−3 g C kg−1 H2O, and 9.88 × 10−3 g C kg−1 H2O (p &lt; 0.05) after the GGP. Our analyses explored how the changes in WUEc after the GGP were more sensitive to the NDVIc (the subscript c stands for cropland) trends, which means that NDVIc was an important controller influencing GPPc and ETc tendency and thus further influencing WUEc in response to the GGP. This study contributes to a better understanding of the variations of agricultural carbon-water coupling and provides references and theories for the development of water-saving agriculture in an ecological restoration area. © 2020 Elsevier Ltd","Chinese loess plateau; Farmland ecosystem; Grain to green program; Spatiotemporal variations; Water use efficiency","Agricultural robots; Carbon; Ecosystems; Efficiency; Evapotranspiration; Landforms; Remote sensing; Sediments; Vegetation; Water conservation; Water supply; Agricultural ecosystems; Arid and semi-arid areas; Grain-to-green programs; Gross primary productivity; Normalized difference vegetation index; Spatio-temporal variation; Spatiotemporal characteristics; Water-saving agricultures; Grain (agricultural product); agricultural land; remote sensing; soil ecosystem; soil erosion; spatial variation; temporal variation; vegetation dynamics; water use efficiency; China; Loess Plateau","English",Article,"Final","",Scopus,2-s2.0-85099148823
"Zhou W., Li H., Xie L., Nie X., Wang Z., Du Z., Yue T.","55999424600;57220753694;57220743402;57220751045;56969998900;8837178300;7101867316;","Remote sensing inversion of grassland aboveground biomass based on high accuracy surface modeling",2021,"Ecological Indicators","121",,"107215","","",,13,"10.1016/j.ecolind.2020.107215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097534692&doi=10.1016%2fj.ecolind.2020.107215&partnerID=40&md5=c27213209f4c4e967a83a7408c77e396","Accurate and effective accounting of grassland aboveground biomass (AGB) is essential for grassland carbon storage accounting and pastoral agriculture sustainability. In this study, we combined AGB field survey data and remote sensing data to build a suitable model to estimate the grassland AGB in the Three-River Source Region (TRSR) of China. Three machine learning models were used to simulate the grassland AGB from 2001 to 2019, including support vector machine (SVM), random forest (RF), and high accuracy surface modeling (HASM). The results show that (1) the HASM achieved better results than the RF and SVM models (R2 = 0.8459 &gt; 0.72 &gt; 0.5858; RMSE = 29 &lt; 41 &lt; 56), and the HASM results reproduce the spatial distribution characteristics of the biomass well. The subsequent spatiotemporal analysis of the AGB conducted in this study was based on the results of the HASM. (2) The highest AGB was located in the eastern and central-southern parts of the TRSR, and the lowest AGB was distributed in the western region. (3) The overall change in the AGB revealed that the percentage of the area that experienced a significant increase in AGB (21%) was larger than that of the area that experienced a significant decrease (13%), and the stable areas accounted for 66% of the total area. The grassland AGB increased by 1 g/m2/yr during 2001–2019. (4) The factors driving the changes in the AGB were analyzed. Overall, the warm and wet climate conditions promoted grass growth in most regions of the TRSR. (5) However, the biomass decreased in some regions with warm and wet conditions. For example, overgrazing and increased populations of grazing led to significant biomass decreases in the towns of Ziketang and Heka in Xinghai County. In this study, the grassland AGB was simulated based on the HASM model, with a high accuracy and a spatial resolution of 500 m. The results of this study provide a scientific basis for grassland resource protection and the highly effective implementation of grassland restoration projects in China. © 2020 The Authors","Aboveground biomass; Driving mechanism; High accuracy surface modelling; Random forest; Three-rivers source region","Agricultural robots; Biomass; Decision trees; Digital storage; Support vector machines; Aboveground biomass; Distribution characteristics; Grassland resource; Grassland restorations; Machine learning models; Remote sensing data; Spatial resolution; Spatiotemporal analysis; Remote sensing; aboveground biomass; accuracy assessment; ecological modeling; grassland; grazing; machine learning; overgrazing; pastoralism; remote sensing; spatiotemporal analysis; support vector machine; China","English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85097534692
"Lunyolo L.D., Khalifa M., Ribbe L.","57219424100;56600005600;23980986800;","Assessing the interaction of land cover/land use dynamics, climate extremes and food systems in Uganda",2021,"Science of the Total Environment","753",,"142549","","",,9,"10.1016/j.scitotenv.2020.142549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092670434&doi=10.1016%2fj.scitotenv.2020.142549&partnerID=40&md5=1084d09bdf61a2d679b3e0e4a229fb8e","Rainfed agriculture is Uganda's mainstay across the different regions of its territory. Farmland area has been reported to increase despite agriculture's vulnerability to climate variations. This great interplay among land-use dynamics, climate extremes, and food systems is, however, understudied. The current research, therefore, explores this interaction at both national and regional scales for the period between 2001 and 2017. Following an approach that employs remote sensing datasets on Net Primary Productivity (NPP), land cover types, drought indices, and climate variables, i.e. precipitation, temperature, and evapotranspiration, impacts of climate extremes and land cover changes on food production have been analysed. Similarly, the performance of ten major crops in Uganda over the last 6 decades has been detected using the Regime Shift technique. Key findings, thereof, indicate that NPP in farmlands is sensitive to climate variability, and this sensitivity varies spatially among the regions. Forests and permanent wetlands have been massively changed into farmlands, hence, moving a step forward into offsetting food insecurity but a step backward in preserving ecosystem services, espcially mitigating climate change. Furthermore, the noticeable increase in the total production of the major crops in Uganda seems to be derived mainly by the increase in area harvested affirming the step towards food security. However, the influences, thereof, may aggravate climate change impacts especially through reversing carbon sinks into carbon sources. This reversal could impact the crop yields further. Contrastingly, results from some crops illustrate the potential to increase crop production without necessarily expanding the cropland area. Therefore, Uganda may, instead, consider exploiting the maximum yield potential of crops through, for instance, augmenting rainfed agriculture with irrigation and enforcing effective policies rather than expanding farmland area. These findings collectively contribute further to our understanding of the importance of policies that ensure food security but at the same time preserve a healthy environment. © 2020 Elsevier B.V.","Climate extremes; Food systems; Land cover/use dynamics; Uganda","Agricultural robots; Carbon; Crops; Cultivation; Ecosystems; Farms; Food supply; Irrigation; Land use; Remote sensing; Climate change impact; Climate variability; Climate variables; Ecosystem services; Healthy environments; Land use dynamics; Net primary productivity; Rain fed agriculture; Climate change; climate change; crop production; data set; extreme event; food security; food supply; land cover; land use change; remote sensing; spatial analysis; article; carbon sink; carbon source; climate change; crop production; cropland; drought; evapotranspiration; food industry; food insecurity; food security; forest; harvest; precipitation; productivity; remote sensing; Uganda; wetland; Uganda","English",Article,"Final","",Scopus,2-s2.0-85092670434
